opeid8,award_year,descriptor,raw_values,normalized_values
02176900,2001-2002,school,ARTHUR ANGELO SCHOOL OF COSMETOLOGY AND HAIR DESIGN | EMPIRE BEAUTY SCHOOL,ARTHUR ANGELO SCHOOL OF COSMETOLOGY AND HAIR DESIGN | EMPIRE BEAUTY SCHOOL
02177100,1999-2000,school,HAIR DESIGN SCHOOL (THE) | EMPIRE BEAUTY SCHOOL,HAIR DESIGN SCHOOL | EMPIRE BEAUTY SCHOOL
02177100,2000-2001,school,HAIR DESIGN SCHOOL (THE) | EMPIRE BEAUTY SCHOOL,HAIR DESIGN SCHOOL | EMPIRE BEAUTY SCHOOL
02177100,2001-2002,school,HAIR DESIGN SCHOOL (THE) | THE HAIR DESIGN SCHOOL | EMPIRE BEAUTY SCHOOL,HAIR DESIGN SCHOOL | EMPIRE BEAUTY SCHOOL
02177100,2002-2003,school,EMPIRE BEAUTY SCHOOL | Hair Design School (The),EMPIRE BEAUTY SCHOOL | HAIR DESIGN SCHOOL
02177100,2003-2004,school,EMPIRE BEAUTY SCHOOL | Hair Design School (The),EMPIRE BEAUTY SCHOOL | HAIR DESIGN SCHOOL
02177100,2004-2005,school,EMPIRE BEAUTY SCHOOL | Hair Design School (The),EMPIRE BEAUTY SCHOOL | HAIR DESIGN SCHOOL
02177100,2005-2006,school,EMPIRE BEAUTY SCHOOL | Hair Design School (The),EMPIRE BEAUTY SCHOOL | HAIR DESIGN SCHOOL
02177100,2007-2008,school,EMPIRE BEAUTY SCHOOL | Hair Design School (The),EMPIRE BEAUTY SCHOOL | HAIR DESIGN SCHOOL
02177500,2001-2002,school,RIO SALADO COMMUNITY COLLEGE | RIO SALADO COLLEGE,RIO SALADO COMMUNITY COLLEGE | RIO SALADO COLLEGE
02178900,1999-2000,school,ACADEMY OF HAIR DESIGN | JOLIE HAIR & BEAUTY ACADEMY OF HAZLETON,ACADEMY OF HAIR DESIGN | JOLIE HAIR AND BEAUTY ACADEMY OF HAZLETON
02178900,2000-2001,school,ACADEMY OF HAIR DESIGN | JOLIE HAIR & BEAUTY ACADEMY OF HAZLETON,ACADEMY OF HAIR DESIGN | JOLIE HAIR AND BEAUTY ACADEMY OF HAZLETON
02178900,2001-2002,school,ACADEMY OF HAIR DESIGN | JOLIE HAIR & BEAUTY ACADEMY OF HAZLETON,ACADEMY OF HAIR DESIGN | JOLIE HAIR AND BEAUTY ACADEMY OF HAZLETON
02179600,2001-2002,school,EMPIRE BEAUTY SCHOOL | EMPIRE BEAUTY SCHOOL #3,EMPIRE BEAUTY SCHOOL | EMPIRE BEAUTY SCHOOL 3
02179900,2001-2002,school,ARGOSY UNIVERSITY | AMERICAN SCHOOL OF PROFESSIONAL PSYCHOLOGY,ARGOSY UNIVERSITY | AMERICAN SCHOOL OF PROFESSIONAL PSYCHOLOGY
02181300,2002-2003,school,LONG TECHNICAL COLLEGE | Phoenix Career College,LONG TECHNICAL COLLEGE | PHOENIX CAREER COLLEGE
02181300,2003-2004,school,LONG TECHNICAL COLLEGE | Phoenix Career College,LONG TECHNICAL COLLEGE | PHOENIX CAREER COLLEGE
02181600,2001-2002,school,ROB ROY ACADEMY | ROB ROY ACADEMY INC,ROB ROY ACADEMY | ROB ROY ACADEMY INC
02183000,2013-2014,school,ORLEANS TECHNICAL COLLEGE | Orleans Technical Institute,ORLEANS TECHNICAL COLLEGE | ORLEANS TECHNICAL INSTITUTE
02184200,2001-2002,school,MILAN INSTITUTE OF COSMETOLOGY | EVERETT PLAZA BEAUTY SCHOOL | PAROBA COLLEGE OF COSMETOLOGY,MILAN INSTITUTE OF COSMETOLOGY | EVERETT PLAZA BEAUTY SCHOOL | PAROBA COLLEGE OF COSMETOLOGY
02184200,2002-2003,school,PAROBA COLLEGE OF COSMETOLOGY | Everett Beauty Academy,PAROBA COLLEGE OF COSMETOLOGY | EVERETT BEAUTY ACADEMY
02184400,2014-2015,school,JENKS BEAUTY COLLEGE | Sand Springs Beauty College,JENKS BEAUTY COLLEGE | SAND SPRINGS BEAUTY COLLEGE
